20210113_REU-HERMITAGE_MASK-1_00,2021:01:13 07:49:05.000,33
20210113_REU-HERMITAGE_PADDLE-1_00,2021:01:13 08:04:20.001,23
20210114_REU-HERMITAGE_PADDLE-2_00,1970:01:01 00:00:00.000,0
20210118_REU-SAINTLEU_PADDLE-2_00,2021:01:18 06:40:20.001,25
20210210_REU-SAINTLEU_PADDLE-2_00,2021:02:10 06:41:01.002,15
20210218_REU-HERMITAGE_MASK-1_00,1970:01:01 00:00:00.000,0
20210218_REU-HERMITAGE_PADDLE-1_00,2021:02:18 06:59:02.002,18
20210218_REU-HERMITAGE_PADDLE-1_01,2021:02:18 11:56:55.003,23
20210310_REU-HERMITAGE_MASK-1_00,2021:03:10 06:34:43.004,15
20210310_REU-HERMITAGE_MASK-1_01,1970:01:01 00:00:00.000,0
20210310_REU-HERMITAGE_MASK-2_00,2021:03:10 06:27:47.004,16
20210310_REU-HERMITAGE_MASK-2_01,2021:03:10 07:00:17.005,83
20210310_REU-HERMITAGE_MASK-2_02,2021:03:10 08:12:36.006,20
20210317_REU-HERMITAGE_MASK-1_00,2021:03:17 04:56:34.007,20
20210317_REU-HERMITAGE_MASK-1_01,2021:03:17 05:26:49.008,19
20210317_REU-HERMITAGE_MASK-2_00,2021:03:17 06:20:57.009,16
20210317_REU-HERMITAGE_MASK-2_01,2021:03:17 06:58:28.0,20
20210401_REU-HERMITAGE_MASK-1_00,1970:01:01 00:00:00.000,0
20210401_REU-HERMITAGE_MASK-1_01,2021:04:01 06:46:15.0,5
20210401_REU-HERMITAGE_MASK-2_00,2021:04:01 06:44:31.0,3
20210401_REU-HERMITAGE_MASK-2_01,1970:01:01 00:00:00.000,0
